Topic,num_languages,num_views,links_from,links_to,ext_links,num_edits,num_editors,characters,words,sections,redirects_count
"Sancourt, Somme",33,11217,807,784,11,63,40,264,44,5,0
Roy Apps,1,13950,13,21,3,66,37,1413,237,3,0
Whittington Hospital,1,169956,694,685,23,271,100,3878,623,7,2
Preraca,8,6896,18,4,4,21,15,190,25,2,0
Nepas,65,11308,215,192,15,73,39,171,29,2,2
Ayşegül Coşkun,6,14692,38,21,21,65,17,2467,422,9,1
Variants of SARS-CoV-2,29,2332426,1924,2224,682,1980,434,46860,7489,66,80
Myeloproliferative neoplasm,20,553023,131,125,55,277,122,5197,775,9,10
Cleartext,0,55806,8,35,0,52,28,5083,775,5,0
Variants of SARS-CoV-2,29,2332426,1924,2224,682,1980,434,46860,7489,66,80
Myeloproliferative neoplasm,20,553023,131,125,55,277,122,5197,775,9,10
Cleartext,0,55806,8,35,0,52,28,5083,775,5,0
Donald Arthur Hatch,0,1200,65,5,8,85,17,4593,733,8,1
Mohammed Al-Rufrafi,2,1448,64,7,56,30,17,7601,1245,15,1
Mary Kay Ash,10,963518,214,211,37,725,467,4183,716,11,2
Bernard Keble Sandwell,0,7941,29,16,16,42,33,1889,322,7,0
Scholasticism,75,1771200,1404,3762,50,1181,584,16080,2408,21,12
C16H20N4O2,2,874,6,1,0,5,5,97,15,1,0
Nowy Dwór Królewski,91,6822,32,24,5,153,52,1541,261,7,1
Bernard Keble Sandwell,0,7941,29,16,16,42,33,1889,322,7,0
Scholasticism,75,1771200,1404,3762,50,1181,584,16080,2408,21,12
C16H20N4O2,2,874,6,1,0,5,5,97,15,1,0
Nowy Dwór Królewski,91,6822,32,24,5,153,52,1541,261,7,1
2009 NORCECA Beach Volleyball Circuit (Boca Chica),0,6041,69,28,3,28,13,184,31,5,0
Lippy Lou,0,10602,21,7,10,24,18,530,91,5,1
Damages,31,1272440,232,1386,61,637,397,19713,3274,24,22
Desertion,49,1825818,443,1200,95,1267,726,25220,3952,40,23
Shield,81,1270797,137,930,33,989,619,10563,1713,12,6
Four Great Inventions,33,944580,189,120,38,1572,743,14654,2372,14,14
Four Great Inventions,33,944580,189,120,38,1572,743,14654,2372,14,14
Gen Hoshino,15,515065,157,189,92,348,90,4852,827,17,3
Calì,0,15422,35,8,0,44,25,265,47,10,3
La corona (Gluck),1,15947,71,50,15,39,13,2181,371,7,0
Kaskade,18,1241087,106,539,61,1152,657,6635,1116,18,4
Harwelden Mansion,0,10550,111,55,17,43,20,2676,427,6,1
Archytas frenguellii,5,N/A,22,7,5,2,2,86,14,3,1
Valentino (1977 movie),9,1021,1,0,0,1,1,18804,3020,19,0
Jon Kowalyshen,1,12425,44,8,30,60,34,3081,517,9,1
Firangi Deval,3,8430,56,40,12,31,9,1657,284,4,0
Archytas frenguellii,5,N/A,22,7,5,2,2,86,14,3,1
Valentino (1977 movie),9,1021,1,0,0,1,1,18804,3020,19,0
Jon Kowalyshen,1,12425,44,8,30,60,34,3081,517,9,1
Firangi Deval,3,8430,56,40,12,31,9,1657,284,4,0
The Archangel,4,27169,30,29,2,38,18,126,20,4,1
Richard D'Oyly Carte,9,235569,238,425,106,783,162,36708,6076,16,3
John Cahill Medal,0,58070,386,200,24,191,56,440,70,5,1
Enyalioides peruvianus,6,N/A,34,5,11,4,1,147,24,2,2
Modena,92,2001672,532,2752,56,828,521,20067,3281,38,10
The Lily of Poverty Flat,2,2176,8,6,3,24,8,363,63,3,1
John Cahill Medal,0,58070,386,200,24,191,56,440,70,5,1
Enyalioides peruvianus,6,N/A,34,5,11,4,1,147,24,2,2
Modena,92,2001672,532,2752,56,828,521,20067,3281,38,10
The Lily of Poverty Flat,2,2176,8,6,3,24,8,363,63,3,1
Monte Alto solar power plant,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frieling USA,0,13800,16,1,16,52,28,931,139,3,0
List of colleges and universities in Tennessee,6,494477,435,282,1,309,172,140,21,13,0
Euporie (moon),58,35476,140,149,8,139,81,664,118,2,5
Dawut Abdurehim,0,33635,151,78,43,133,60,6124,984,12,11
Grade II* listed buildings in Corby,0,13691,121,269,54,29,16,145,26,5,0
2010–11 FC Viktoria Plzeň season,1,8920,266,27,41,46,19,2302,397,20,3
Bata Chowk metro station,1,54237,296,258,11,44,32,276,47,8,1
Mean signed deviation,0,49786,20,12,11,39,27,1666,288,4,3
Juan Almeida Bosque,31,205958,126,112,27,248,143,4890,838,6,1
2010–11 FC Viktoria Plzeň season,1,8920,266,27,41,46,19,2302,397,20,3
Bata Chowk metro station,1,54237,296,258,11,44,32,276,47,8,1
